, uploadDate,Collection,Level,Medium,Publisher,Tag,Year,_attachments,_id,_rev,addedBy,articleDate,attachments_md5,author,averageRating,description,filename,fromLevel,hidden,id,isWelcomeVideo,kind,language,linkToLicense,need_optimization,ok,openUrl,openWhichFile,openWith,resourceFor,resourceType,rev,subject,sum,timesRated,title,toLevel,type,uploadDate,views
856,,,[u'Lower Primary'],Video,Khan Academy,"[u'1938ff4f734fedd7e9673c08b4004126', u'1938ff4f734fedd7e9673c08b400420b', u'2cb04e36e7836460c98d481f7e3fae68', u'cc11a4c42d45448a344819389965916d', u'2cb04e36e7836460c98d481f7e447158', u'5b7fb60d4554864f278394b9daa9c60e']",,"{u'Valor Posicional 03.mp4': {u'stub': True, u'length': 7687784, u'content_type': u'video/mp4', u'revpos': 2, u'digest': u'md5-POBitHKSi/Dgy/U92jeyuw=='}}",4520b3fff6601c1fa877240acc0798ce,3-c208db1bc9a4139282f314b274deb7d2,brookalex,2015-05-18T04:00:00.000Z,,Sal Khan,,,,,,,,Resource,Spanish,http://creativecommons.org/licenses/by-nc-sa/4.0/,,,,,Flow Video Player,,,,[u'Math'],0.0,0.0,Matematicas Elementales 11 - Introduccion al valor posicional,,,2015-05-18T04:00:00.000Z,
857,,,[u'Lower Primary'],Text,Africanstorybook.org,"[u'2cb04e36e7836460c98d481f7e9a5076', u'ebae4ec21799f5e85746c440aca24c36', u'cc11a4c42d45448a3448193899b605bf']",,"{u'maman_singe_et_la_femme_du_chasseur_1.pdf': {u'stub': True, u'length': 403562, u'content_type': u'application/octet-stream', u'revpos': 6, u'digest': u'md5-+H4FnALXdpmnLx66IjT0nw=='}}",4520b3fff6601c1fa877240acc079f23,8-dd53730b4e75b6dc175756e82f897a3e,Erin,2015-05-19T04:00:00.000Z,,Wesley Kipkorir Rop,,,,,,,,Resource,French,http://creativecommons.org/licenses/by/4.0/,0.0,,,,PDF.js,Learner,,,[u'Literature'],0.0,0.0,African Storybooks - Maman Singe et la femme du chasseur,,,2015-05-19T04:00:00.000Z,
858,,,[u'Lower Primary'],Text,Africanstorybook.org,"[u'2cb04e36e7836460c98d481f7e9a5076', u'ebae4ec21799f5e85746c440aca24c36', u'cc11a4c42d45448a3448193899b605bf']",,"{u'anansi_et_vautour_0.pdf': {u'stub': True, u'length': 432321, u'content_type': u'application/octet-stream', u'revpos': 6, u'digest': u'md5-0x+yQrhBNr97ObXcSzOKXA=='}}",4520b3fff6601c1fa877240acc07aa9a,8-456b55f768a03639cb63b014b6352440,Erin,2015-05-19T04:00:00.000Z,,Ghanian Folktale,,,,,,,,Resource,French,http://creativecommons.org/licenses/by/4.0/,0.0,,,,PDF.js,Default,,,[u'Literature'],0.0,0.0,African Storybooks - Anasnsi et Vautour,,,2015-05-19T04:00:00.000Z,
859,,,[u'Upper Primary'],Video,Khan Academy,"[u'1938ff4f734fedd7e9673c08b4004126', u'1938ff4f734fedd7e9673c08b405a1c1', u'a28c81eac20e23529a5eda8e85047410', u'a28c81eac20e23529a5eda8e8507d9b3', u'2cb04e36e7836460c98d481f7e3fae68', u'4520b3fff6601c1fa877240acc06e73b', u'2cb04e36e7836460c98d481f7e447158', u'5b7fb60d4554864f278394b9daa9c60e']",,"{u'Decimales 17.mp4': {u'stub': True, u'length': 3131874, u'content_type': u'video/mp4', u'revpos': 2, u'digest': u'md5-E58ZdDPZWAWoqPhcUnc0dw=='}}",4520b3fff6601c1fa877240acc07ab4f,2-2d7c751a85c2d82ea57d34f6cd89a485,brookalex,2015-05-19T04:00:00.000Z,,Sal Khan,,,,,,,,Resource,Spanish,http://creativecommons.org/licenses/by-nc-sa/4.0/,,,,,Flow Video Player,,,,[u'Math'],0.0,0.0,Decimales 17 - Ordenando decimales del menor al mayor,,,2015-05-19T04:00:00.000Z,
860,,,[u'Upper Primary'],Video,Khan Academy,"[u'1938ff4f734fedd7e9673c08b4004126', u'1938ff4f734fedd7e9673c08b405a1c1', u'a28c81eac20e23529a5eda8e85047410', u'2cb04e36e7836460c98d481f7e3fae68', u'4520b3fff6601c1fa877240acc06e73b', u'2cb04e36e7836460c98d481f7e447158', u'5b7fb60d4554864f278394b9daa9c60e']",,"{u'Decimales 18.mp4': {u'stub': True, u'length': 2048619, u'content_type': u'video/mp4', u'revpos': 2, u'digest': u'md5-hutUd8iBc9fEXrLqMrNHoA=='}}",4520b3fff6601c1fa877240acc07b570,2-14ef6792113ce11333d3e168d386048d,brookalex,2015-05-19T04:00:00.000Z,,Sal Khan,,,,,,,,Resource,Spanish,http://creativecommons.org/licenses/by-nc-sa/4.0/,,,,,Flow Video Player,,,,[u'Math'],0.0,0.0,Decimales 18 - Ordenando decimales de menor a mayor Ejemplo 2,,,2015-05-19T04:00:00.000Z,
861,,,[u'Lower Secondary'],Video,Khan Academy,"[u'1938ff4f734fedd7e9673c08b4004126', u'4520b3fff6601c1fa877240acc050906', u'2cb04e36e7836460c98d481f7e3fae68']",,"{u'Negative Numbers- Multiplication and Division 11 - Expressions with Rational Numbers.mp4': {u'stub': True, u'length': 4479801, u'content_type': u'video/mp4', u'revpos': 2, u'digest': u'md5-iqGdSG30xFr8WQPW9zV3yg=='}}",4520b3fff6601c1fa877240acc07bea0,2-e402228d21428601772424d5d6a96125,Erin,2015-05-19T04:00:00.000Z,,Sal Khan ,,,,,,,,Resource,English,http://creativecommons.org/licenses/by-nc-sa/4.0/,,,,,Flow Video Player,,,,[u'Math'],0.0,0.0,Negative Numbers: Multiplication and Division 11 - Expressions with Rational Numbers,,,2015-05-19T04:00:00.000Z,
862,,,[u'Lower Secondary'],Video,Khan Academy,"[u'1938ff4f734fedd7e9673c08b4004126', u'4520b3fff6601c1fa877240acc050906', u'2cb04e36e7836460c98d481f7e3fae68']",,"{u'Negative Numbers- Multiplication and Division 12 - Exponents with Negative Bases.mp4': {u'stub': True, u'length': 2993868, u'content_type': u'video/mp4', u'revpos': 2, u'digest': u'md5-buGEjTg+dfeN22q2VmqIpw=='}}",4520b3fff6601c1fa877240acc07cd16,2-bc3f2ae5604c78cdb27509d5d49f3354,Erin,2015-05-19T04:00:00.000Z,,Sal Khan ,,,,,,,,Resource,English,http://creativecommons.org/licenses/by-nc-sa/4.0/,,,,,Flow Video Player,,,,[u'Math'],0.0,0.0,Negative Numbers: Multiplication and Division 12 - Exponents with Negative Bases,,,2015-05-19T04:00:00.000Z,
863,,,[u'Lower Secondary'],Video,Khan Academy,"[u'1938ff4f734fedd7e9673c08b4004126', u'4520b3fff6601c1fa877240acc050906', u'2cb04e36e7836460c98d481f7e3fae68']",,"{u'Negative Numbers- Multiplication and Division 13 - Raising a Number to the 0 and 1st Power.mp4': {u'stub': True, u'length': 2847904, u'content_type': u'video/mp4', u'revpos': 2, u'digest': u'md5-NP37uKMpFvxOdtuc7IBFnQ=='}}",4520b3fff6601c1fa877240acc07dadb,2-16f29c62085fdeeb0839714904981a96,Erin,2015-05-19T04:00:00.000Z,,Sal Khan,,,,,,,,Resource,English,http://creativecommons.org/licenses/by-nc-sa/4.0/,,,,,Flow Video Player,,,,[u'Literature'],0.0,0.0,Negative Numbers: Multiplication and Division 13 - Raising a Number to the 0 and 1st Power,,,2015-05-19T04:00:00.000Z,
864,,,[u'Upper Primary'],Video,Khan Academy,"[u'1938ff4f734fedd7e9673c08b4004126', u'1938ff4f734fedd7e9673c08b405a1c1', u'a28c81eac20e23529a5eda8e85047410', u'a28c81eac20e23529a5eda8e8507d9b3', u'2cb04e36e7836460c98d481f7e3fae68', u'cc11a4c42d45448a344819389965916d', u'4520b3fff6601c1fa877240acc06e73b', u'2cb04e36e7836460c98d481f7e447158', u'5b7fb60d4554864f278394b9daa9c60e']",,"{u'Decimales 19.mp4': {u'stub': True, u'length': 2417060, u'content_type': u'video/mp4', u'revpos': 2, u'digest': u'md5-4D4VwHmlXVr5U1vSVOBwOw=='}}",4520b3fff6601c1fa877240acc07e2a0,2-aee13e49a2b7508b4ae1b9583f734d0a,brookalex,2015-05-19T04:00:00.000Z,,Sal Khan,,,,,,,,Resource,Spanish,http://creativecommons.org/licenses/by-nc-sa/4.0/,,,,,Flow Video Player,,,,[u'Math'],0.0,0.0,Decimales 19 - Sumando y restando decimales Ejemplo 1,,,2015-05-19T04:00:00.000Z,
865,,,[u'Lower Secondary'],Video,Khan Academy,"[u'1938ff4f734fedd7e9673c08b4004126', u'4520b3fff6601c1fa877240acc050906', u'2cb04e36e7836460c98d481f7e3fae68', u'e1360a2d7b614667403460f55dee88d0', u'cc11a4c42d45448a34481938996882a1']",,"{u'Negative Numbers- Multiplication and Division 14 - Multiplying and Dividing Even and Odd Numbers of Negatives.mp4': {u'stub': True, u'length': 7776504, u'content_type': u'video/mp4', u'revpos': 2, u'digest': u'md5-o2rFwL16wtFuZie4vJRY6g=='}}",4520b3fff6601c1fa877240acc07ede6,3-04e3532fc3fc484677a393e359856b27,Erin,2015-05-19T04:00:00.000Z,,,,,,,,,,Resource,English,http://creativecommons.org/licenses/by-nc-sa/4.0/,,,,,Flow Video Player,,,,[u'Literature'],0.0,0.0,Negative Numbers: Multiplication and Division 14 - Multiplying and Dividing Even and Odd Numbers of Negatives,,,2015-05-19T04:00:00.000Z,
866,,,[u'Upper Primary'],Video,Khan Academy,[u'1938ff4f734fedd7e9673c08b4004126'],,"{u'Decimales 20.mp4': {u'stub': True, u'length': 2150649, u'content_type': u'video/mp4', u'revpos': 2, u'digest': u'md5-WdEgFCB/5VuyOG6IsTPmXg=='}}",4520b3fff6601c1fa877240acc07f342,2-7041749aba09a85fbb1394af46be01b2,brookalex,2015-05-19T04:00:00.000Z,,Sal Khan,,,,,,,,Resource,Spanish,http://creativecommons.org/licenses/by-nc-sa/4.0/,,,,,Flow Video Player,,,,[u'Math'],0.0,0.0,Decimales 20 - Sumando y restando decimales Ejemplo 2,,,2015-05-19T04:00:00.000Z,
867,,,[u'Upper Primary'],Video,Khan Academy & Monterey Institute for Technology and Education,"[u'1938ff4f734fedd7e9673c08b4004126', u'1938ff4f734fedd7e9673c08b405a1c1', u'a28c81eac20e23529a5eda8e85047410', u'a28c81eac20e23529a5eda8e8507d9b3', u'2cb04e36e7836460c98d481f7e3fae68', u'cc11a4c42d45448a344819389965916d', u'4520b3fff6601c1fa877240acc06e73b', u'2cb04e36e7836460c98d481f7e447158', u'5b7fb60d4554864f278394b9daa9c60e']",,"{u'Decimales 21.mp4': {u'stub': True, u'length': 3206013, u'content_type': u'video/mp4', u'revpos': 2, u'digest': u'md5-/o3/VXCDw4yav9Bn4GtR2w=='}}",4520b3fff6601c1fa877240acc07fda4,2-a82d951023bbda0f402057415b544033,brookalex,2015-05-19T04:00:00.000Z,,Sal Khan,,,,,,,,Resource,Spanish,http://creativecommons.org/licenses/by-nc-sa/4.0/,,,,,Flow Video Player,,,,[u'Math'],0.0,0.0,Decimales 21 - Sumando tres decimales,,,2015-05-19T04:00:00.000Z,
868,,,[u'Lower Secondary'],Video,Khan Academy,"[u'1938ff4f734fedd7e9673c08b4004126', u'4520b3fff6601c1fa877240acc050906', u'2cb04e36e7836460c98d481f7e3fae68']",,"{u'Negative Numbers- Multiplication and Division 15 - Thinking About the Sign of Expressions.mp4': {u'stub': True, u'length': 31375764, u'content_type': u'video/mp4', u'revpos': 2, u'digest': u'md5-X+rF2VXed5uMdj2saDjdmg=='}}",4520b3fff6601c1fa877240acc0805ef,3-5139505fa938186ad26ae8306b2a0c48,Erin,2015-05-19T04:00:00.000Z,,,,,,,,,,Resource,English,http://creativecommons.org/licenses/by-nc-sa/4.0/,,,,,Flow Video Player,,,,[u'Math'],0.0,0.0,Negative Numbers: Multiplication and Division 16 - Thinking About the Sign of Expressions,,,2015-05-19T04:00:00.000Z,
869,,,[u'Upper Primary'],Video,Khan Academy,"[u'1938ff4f734fedd7e9673c08b4004126', u'a28c81eac20e23529a5eda8e85047410', u'a28c81eac20e23529a5eda8e8507d9b3', u'2cb04e36e7836460c98d481f7e3fae68', u'4520b3fff6601c1fa877240acc06e73b', u'2cb04e36e7836460c98d481f7e447158', u'cc11a4c42d45448a34481938996591d8', u'5b7fb60d4554864f278394b9daa9c60e']",,"{u'Decimales 22 - Restando decimales Ejemplo 1.mp4': {u'stub': True, u'length': 1257767, u'content_type': u'video/mp4', u'revpos': 2, u'digest': u'md5-NsQ5ESki8yQO0T2WQRMkXQ=='}}",4520b3fff6601c1fa877240acc081459,2-83534f478cbfeba81264b15f84fdf1b9,brookalex,2015-05-19T04:00:00.000Z,,Sal Khan,,,,,,,,Resource,Spanish,http://creativecommons.org/licenses/by-nc-sa/4.0/,,,,,Flow Video Player,,,,[u'Math'],0.0,0.0,Decimales 22 - Restando decimales Ejemplo 1,,,2015-05-19T04:00:00.000Z,
870,,,[u'Lower Secondary'],Video,Khan Academy,"[u'1938ff4f734fedd7e9673c08b4004126', u'4520b3fff6601c1fa877240acc050906', u'2cb04e36e7836460c98d481f7e3fae68']",,"{u'Negative Numbers- Patterns in Raising 1 and -1 to Different Powers.mp4': {u'stub': True, u'length': 3538762, u'content_type': u'video/mp4', u'revpos': 2, u'digest': u'md5-Ad9TT/s5CZCeN6aN2afImA=='}}",4520b3fff6601c1fa877240acc081a50,2-c4da139b1e07e2c385a83f3cd7b9ca2e,Erin,2015-05-19T04:00:00.000Z,,,,,,,,,,Resource,English,http://creativecommons.org/licenses/by-nc-sa/4.0/,,,,,Flow Video Player,,,,[u'Math'],0.0,0.0,Negative Numbers: Multiplication and Division 15 - Patterns in Raising 1 and -1 to Different Powers,,,2015-05-19T04:00:00.000Z,
871,,,[u'Lower Secondary'],Video,Khan Academy,"[u'1938ff4f734fedd7e9673c08b4004126', u'4520b3fff6601c1fa877240acc050906', u'2cb04e36e7836460c98d481f7e3fae68']",,"{u'Negative Numbers- Multiplication and Division 17 - Powers of Zero.mp4': {u'stub': True, u'length': 2299272, u'content_type': u'video/mp4', u'revpos': 2, u'digest': u'md5-Fx5UyWwHBmwRC2ZA+Fy+CQ=='}}",4520b3fff6601c1fa877240acc082831,2-81e3d87841c3a792648afcf3c003648c,Erin,2015-05-19T04:00:00.000Z,,Sal Khan,,,,,,,,Resource,English,http://creativecommons.org/licenses/by-nc-sa/4.0/,,,,,Flow Video Player,,,,[u'Math'],0.0,0.0,Negative Numbers: Multiplication and Division 17 - Powers of Zero,,,2015-05-19T04:00:00.000Z,
872,,,[u'Lower Secondary'],Video,Khan Academy,"[u'1938ff4f734fedd7e9673c08b4004126', u'4520b3fff6601c1fa877240acc050906', u'2cb04e36e7836460c98d481f7e3fae68', u'e1360a2d7b614667403460f55dee88d0']",,"{u'Negative Numbers- Multiplication and Division 18 - Why Dividing by Zero is Undefined.mp4': {u'stub': True, u'length': 3334413, u'content_type': u'video/mp4', u'revpos': 2, u'digest': u'md5-GjSJOR9yhXj2WHxemG27tg=='}}",4520b3fff6601c1fa877240acc082fb2,2-f67a6a01d6a7f93f56fc9341d4704669,Erin,2015-05-19T04:00:00.000Z,,Sal Khan ,,,,,,,,Resource,English,http://creativecommons.org/licenses/by-nc-sa/4.0/,,,,,Flow Video Player,,,,[u'Math'],0.0,0.0,Negative Numbers: Multiplication and Division 18 - Why Dividing by Zero is Undefined,,,2015-05-19T04:00:00.000Z,
873,,,[u'Upper Primary'],Video,Khan Academy,"[u'1938ff4f734fedd7e9673c08b4004126', u'a28c81eac20e23529a5eda8e85047410', u'a28c81eac20e23529a5eda8e8507d9b3', u'2cb04e36e7836460c98d481f7e3fae68', u'4520b3fff6601c1fa877240acc06e73b', u'2cb04e36e7836460c98d481f7e447158', u'cc11a4c42d45448a34481938996591d8', u'5b7fb60d4554864f278394b9daa9c60e']",,"{u'Decimales 23 - Restando decimales Ejemplo 2.mp4': {u'stub': True, u'length': 2223310, u'content_type': u'video/mp4', u'revpos': 2, u'digest': u'md5-GfC+n4AUYlc/6T2IttV3dQ=='}}",4520b3fff6601c1fa877240acc083bcb,2-0f22a1ca3691d910616342d2cee0ae2c,brookalex,2015-05-19T04:00:00.000Z,,Sal Khan & Monterey Institute for Technology and Education,,,,,,,,Resource,Spanish,http://creativecommons.org/licenses/by-nc-sa/4.0/,,,,,Flow Video Player,,,,[u'Math'],0.0,0.0,Decimales 23 - Restando decimales Ejemplo 2,,,2015-05-19T04:00:00.000Z,
874,,,[u'Upper Primary'],Video,Khan Academy,"[u'1938ff4f734fedd7e9673c08b4004126', u'a28c81eac20e23529a5eda8e85047410', u'a28c81eac20e23529a5eda8e8507d9b3', u'2cb04e36e7836460c98d481f7e3fae68', u'cc11a4c42d45448a344819389965916d', u'4520b3fff6601c1fa877240acc06e73b', u'5b7fb60d4554864f278394b9daa9c60e']",,"{u'Decimales 24.mp4': {u'stub': True, u'length': 2719991, u'content_type': u'video/mp4', u'revpos': 2, u'digest': u'md5-W85ec5QwL3PhngzVxmYANw=='}}",4520b3fff6601c1fa877240acc0845dc,2-fc28387b45845eab1adced32d169dfc8,brookalex,2015-05-19T04:00:00.000Z,,Sal Khan,,,,,,,,Resource,Spanish,http://creativecommons.org/licenses/by-nc-sa/4.0/,,,,,Flow Video Player,,,,[u'Math'],0.0,0.0,Decimales 24 - Ejemplo problema de suma de decimales,,,2015-05-19T04:00:00.000Z,
875,,,[u'Lower Secondary'],Video,Khan Academy,"[u'1938ff4f734fedd7e9673c08b4004126', u'4520b3fff6601c1fa877240acc050906']",,"{u'Negative Numbers- Multiplication and Division 19 - Introduction to Order of Operations.mp4': {u'stub': True, u'length': 7313587, u'content_type': u'video/mp4', u'revpos': 2, u'digest': u'md5-PUNv0Q8ksRqXz5iYxRUvTw=='}}",4520b3fff6601c1fa877240acc0850ea,2-7aaa753d2906c19d2fbdd565f14b62e8,Erin,2015-05-19T04:00:00.000Z,,Sal Khan ,,,,,,,,Resource,English,http://creativecommons.org/licenses/by-nc-sa/4.0/,,,,,Flow Video Player,,,,[u'Math'],0.0,0.0,Negative Numbers: Multiplication and Division 19 - Introduction to Order of Operations,,,2015-05-19T04:00:00.000Z,
876,,,[u'Lower Secondary'],Video,Khan Academy,"[u'1938ff4f734fedd7e9673c08b4004126', u'4520b3fff6601c1fa877240acc050906', u'2cb04e36e7836460c98d481f7e3fae68']",,"{u'Negative Numbers- Multiplication and Division 20 - Order of Operations PEMDAS.mp4': {u'stub': True, u'length': 3988849, u'content_type': u'video/mp4', u'revpos': 2, u'digest': u'md5-3L8Iw572lDGV4qQlE7JApA=='}}",4520b3fff6601c1fa877240acc085b04,2-17002a167a73d4cb7c8499540957205c,Erin,2015-05-19T04:00:00.000Z,,Sal Khan ,,,,,,,,Resource,English,http://creativecommons.org/licenses/by-nc-sa/4.0/,,,,,Flow Video Player,,,,[u'Math'],0.0,0.0,Negative Numbers: Multiplication and Division 20 - Order of Operations PEMDAS,,,2015-05-19T04:00:00.000Z,
877,,,[u'Upper Primary'],Video,Khan Academy,"[u'1938ff4f734fedd7e9673c08b4004126', u'a28c81eac20e23529a5eda8e85047410', u'a28c81eac20e23529a5eda8e8507d9b3', u'2cb04e36e7836460c98d481f7e3fae68', u'cc11a4c42d45448a344819389965916d', u'4520b3fff6601c1fa877240acc06e73b', u'2cb04e36e7836460c98d481f7e447158', u'cc11a4c42d45448a34481938996591d8', u'5b7fb60d4554864f278394b9daa9c60e']",,"{u'Decimales 25.mp4': {u'stub': True, u'length': 5130107, u'content_type': u'video/mp4', u'revpos': 2, u'digest': u'md5-b7ZfuKzOdMNXNwxL2vaP1w=='}}",4520b3fff6601c1fa877240acc085c02,2-525dbb49e999fd66f00f2790dce7fd1a,brookalex,2015-05-19T04:00:00.000Z,, Sal Khan & Monterey Institute for Technology and Education,,,,,,,,Resource,Spanish,http://creativecommons.org/licenses/by-nc-sa/4.0/,,,,,Flow Video Player,,,,[u'Math'],0.0,0.0,Decimales 25 - Ejemplo problema de suma y resta de decimales,,,2015-05-19T04:00:00.000Z,
878,,,[u'Lower Secondary'],Video,Khan Academy,"[u'1938ff4f734fedd7e9673c08b4004126', u'4520b3fff6601c1fa877240acc050906', u'2cb04e36e7836460c98d481f7e3fae68']",,"{u'Negative Numbers- Multiplication and Division 21 - Order of Operations Example- Putting it All Together.mp4': {u'stub': True, u'length': 3477642, u'content_type': u'video/mp4', u'revpos': 2, u'digest': u'md5-l8WZyM3Qw27U43h0csyw/w=='}}",4520b3fff6601c1fa877240acc085e6c,2-967d1d431b2e6aa362ca596818a8c076,Erin,2015-05-19T04:00:00.000Z,,Sal Khan and Monterey Institute for Technology and Education,,,,,,,,Resource,English,http://creativecommons.org/licenses/by/4.0/,,,,,Flow Video Player,,,,[u'Math'],0.0,0.0,Negative Numbers: Multiplication and Division 21 - Order of Operations Example: Putting it All Together,,,2015-05-19T04:00:00.000Z,
879,,,[u'Lower Secondary'],Video,Khan Academy,"[u'1938ff4f734fedd7e9673c08b4004126', u'4520b3fff6601c1fa877240acc050906', u'2cb04e36e7836460c98d481f7e3fae68']",,"{u'Negative Numbers- Multiplication and Division 22 - Arithmetic Properties with Negative Numbers.mp4': {u'stub': True, u'length': 30888730, u'content_type': u'video/mp4', u'revpos': 2, u'digest': u'md5-zzweF5L1E2unt2KRzy35wQ=='}}",4520b3fff6601c1fa877240acc086dba,2-597c6dba142c952ce1382fba348e3ab5,Erin,2015-05-19T04:00:00.000Z,,,,,,,,,,Resource,English,http://creativecommons.org/licenses/by/4.0/,,,,,Flow Video Player,,,,[u'Math'],0.0,0.0,Negative Numbers: Multiplication and Division 22 - Arithmetic Properties with Negative Numbers,,,2015-05-19T04:00:00.000Z,
880,,,[u'Lower Primary'],Video,Khan Academy,"[u'1938ff4f734fedd7e9673c08b4004126', u'1938ff4f734fedd7e9673c08b400420b', u'2cb04e36e7836460c98d481f7e3fae68', u'2cb04e36e7836460c98d481f7e447158', u'5b7fb60d4554864f278394b9daa9c60e']",,"{u'Matematicas Elementales 02 - Comparando numeros de objetos.mp4': {u'stub': True, u'length': 1178374, u'content_type': u'video/mp4', u'revpos': 2, u'digest': u'md5-SGdG1GXLRzDrSertzUtEtA=='}}",4520b3fff6601c1fa877240acc0874f4,2-89137e6f197027b8a5dac897510e98e0,brookalex,2015-05-19T04:00:00.000Z,,Sal Khan,,,,,,,,Resource,Spanish,http://creativecommons.org/licenses/by-nc-sa/4.0/,,,,,Flow Video Player,,,,[u'Math'],0.0,0.0,Matematicas Elementales 02 - Comparando numeros de objetos,,,2015-05-19T04:00:00.000Z,
881,,,[u'Lower Secondary'],Text,Africanstorybook.org,"[u'2cb04e36e7836460c98d481f7e9a5076', u'ebae4ec21799f5e85746c440aca24c36', u'cc11a4c42d45448a3448193899b605bf']",2015,"{u'anansi_donne_les_histoires_au_monde_0.pdf': {u'stub': True, u'length': 406340, u'content_type': u'application/octet-stream', u'revpos': 6, u'digest': u'md5-gNIcGgHVK/KRx48e23SvwQ=='}}",4520b3fff6601c1fa877240acc0881db,9-214d79208d7908c54d27dba959cc4e14,Erin,2015-05-19T04:00:00.000Z,,"Ghanian Folktale, Anne Duranceau, Translators without Borders, Wiehan de Jager",,,,,,,,Resource,French,http://creativecommons.org/licenses/by/4.0/,0.0,,,,PDF.js,Learner,,,[u'Literature'],0.0,0.0,African Storybooks - Anansi donne les histoires au monde,,,2015-05-19T04:00:00.000Z,
882,,,[u'Lower Primary'],Text,Africanstorybook.org,"[u'2cb04e36e7836460c98d481f7e9a5076', u'ebae4ec21799f5e85746c440aca24c36', u'cc11a4c42d45448a3448193899b605bf']",,"{u'azizi_la_poupee_0.pdf': {u'stub': True, u'length': 537127, u'content_type': u'application/octet-stream', u'revpos': 6, u'digest': u'md5-VtLknQ1svuRmCRmZvBU9gg=='}}",4520b3fff6601c1fa877240acc088b24,8-353972cc875011664116a5fefccdf2a8,Erin,2015-05-19T04:00:00.000Z,,Lawrence A. Konjuro,,,,,,,,Resource,French,http://creativecommons.org/licenses/by/4.0/,0.0,,,,PDF.js,Default,,,[u'Literature'],0.0,0.0,African Storybooks - Azizi la poupée,,,2015-05-19T04:00:00.000Z,
883,,,[u'Lower Primary'],Video,Khan Academy,"[u'1938ff4f734fedd7e9673c08b4004126', u'1938ff4f734fedd7e9673c08b400420b', u'2cb04e36e7836460c98d481f7e3fae68', u'2cb04e36e7836460c98d481f7e447158', u'5b7fb60d4554864f278394b9daa9c60e']",,"{u'Matematicas Elementales 01 - Numeros del 0 al 20 - Cuadricula de numeros.mp4': {u'stub': True, u'length': 15482972, u'content_type': u'video/mp4', u'revpos': 2, u'digest': u'md5-PEPY3uq0sA4bYzRvl52LoQ=='}}",4520b3fff6601c1fa877240acc088eca,3-b62dc56db05a688bd2bd3bff198f925f,brookalex,2015-05-19T04:00:00.000Z,,Sal Khan y Arshya Vahabzadeh,,,,,,,,Resource,Spanish,http://creativecommons.org/licenses/by-sa/4.0/,,,,,Flow Video Player,,,,[u'Math'],0.0,0.0,Matematicas Elementales 01 - Numeros del 0 al 20 - Cuadricula de numeros,,,2015-05-19T04:00:00.000Z,
884,,,[u'Lower Primary'],Video,Khan Academy,"[u'1938ff4f734fedd7e9673c08b4004126', u'1938ff4f734fedd7e9673c08b400420b', u'2cb04e36e7836460c98d481f7e3fae68', u'2cb04e36e7836460c98d481f7e447158', u'5b7fb60d4554864f278394b9daa9c60e']",,"{u'Matematicas Elementales 03 - Comparando numeros pequenos en la recta numerica.mp4': {u'stub': True, u'length': 2142275, u'content_type': u'video/mp4', u'revpos': 2, u'digest': u'md5-sFcre0uUE/2N/9h9KKLPdQ=='}}",4520b3fff6601c1fa877240acc089e4b,2-37e98c5aa1518feef8db1c99de9875f3,brookalex,2015-05-19T04:00:00.000Z,,Sal Khan,,,,,,,,Resource,Spanish,http://creativecommons.org/licenses/by-nc-sa/4.0/,,,,,Flow Video Player,,,,[u'Math'],0.0,0.0,Matematicas Elementales 03 - Comparando numeros pequenos en la recta numerica,,,2015-05-19T04:00:00.000Z,
885,,,[u'Lower Secondary'],Text,Africanstorybook.org,"[u'2cb04e36e7836460c98d481f7e9a5076', u'ebae4ec21799f5e85746c440aca24c36', u'cc11a4c42d45448a3448193899b605bf']",,"{u'la_hyene_et_le_corbeau_0.pdf': {u'stub': True, u'length': 452573, u'content_type': u'application/octet-stream', u'revpos': 6, u'digest': u'md5-3sD5TuraDSm/FGQRw4A9iQ=='}}",4520b3fff6601c1fa877240acc08a2c0,8-bb343b42d6f568d33a670565c5debe89,Erin,2015-05-19T04:00:00.000Z,,Ann Nduku,,,,,,,,Resource,French,http://creativecommons.org/licenses/by/4.0/,0.0,,,,PDF.js,Default,,,[u'Literature'],0.0,0.0,African Storybooks - La Hyène et le Corbeau,,,2015-05-19T04:00:00.000Z,
886,,,[u'Lower Primary'],Text,Africanstorybook.org,"[u'2cb04e36e7836460c98d481f7e9a5076', u'ebae4ec21799f5e85746c440aca24c36', u'cc11a4c42d45448a3448193899b605bf']",2015,"{u'mulongo_et_les_hyenes_1.pdf': {u'stub': True, u'length': 471267, u'content_type': u'application/octet-stream', u'revpos': 5, u'digest': u'md5-DV458XVX7oEfSqHsN5LPvA=='}}",4520b3fff6601c1fa877240acc08b1a0,8-67ac6404b4b53bf794659e3e209fde15,Erin,2015-05-19T04:00:00.000Z,,"Sarah Nangobi, Isabelle Duston, Véronique Biddau, Wiehan de Jager",,,,,,,,Resource,French,http://creativecommons.org/licenses/by/4.0/,0.0,,,,PDF.js,Learner,,,[u'Literature'],0.0,0.0,African Storybooks - Mulongo et les hyènes,,,2015-05-19T04:00:00.000Z,
